item,combination1,combination2,combination3
nuttella ecstacy donut,cotton candy donut,hersheys almond donut,coco nariyal donut
bubblegum crunchy donut,nuttella ecstacy donut,cotton candy donut,hersheys almond donut
belgian white donut,bubblegum crunchy donut,nuttella ecstacy donut,cotton candy donut
dusty ferrero donut,belgian white donut,bubblegum crunchy donut,nuttella ecstacy donut
irish coffee donut,dusty ferrero donut,belgian white donut,bubblegum crunchy donut
paneer peas masala,gobi chilly,hariyali paneer tikka,achari paneer tikka
kurma,paneer peas masala,gobi chilly,hariyali paneer tikka
kholapuri,kurma,paneer peas masala,gobi chilly
hundi,kholapuri,kurma,paneer peas masala
kadai paneer,hundi,kholapuri,kurma
paneer tikka masala,kadai paneer,hundi,kholapuri
paneer butter masala,paneer tikka masala,kadai paneer,hundi
veg shee kabab,paneer butter masala,paneer tikka masala,kadai paneer
malai paneer tikka,veg shee kabab,paneer butter masala,paneer tikka masala
paneer tikka masala,malai paneer tikka,veg shee kabab,paneer butter masala
tandoori alu,paneer tikka masala,malai paneer tikka,veg shee kabab
mushroom aalu,tandoori alu,paneer tikka masala,malai paneer tikka
mushroom tikka,mushroom aalu,tandoori alu,paneer tikka masala
mushroom munchurian,mushroom tikka,hariyali paneer tikka,tandoori alu
gobi munchurian,mushroom munchurian,gobi chilly,mushroom aalu
paneer munchurian,gobi munchurian,mushroom munchurian,mushroom tikka
gobi chilly dry,paneer munchurian,gobi munchurian,mushroom munchurian
gobi 65 dry,gobi chilly dry,paneer munchurian,gobi munchurian
paneer chilly dry,gobi 65 dry,gobi chilly dry,paneer munchurian
mushroom pepper dry,paneer chilly dry,gobi 65 dry,gobi chilly dry
mushroom chilly dry,mushroom pepper dry,paneer chilly dry,gobi 65 dry
babycorn dry,mushroom chilly dry,mushroom pepper dry,paneer chilly dry
paneer tikka,babycorn dry,mushroom chilly dry,mushroom pepper dry
achari paneer tikka,paneer tikka,babycorn dry,mushroom chilly dry
hariyali paneer tikka,achari paneer tikka,paneer tikka,babycorn dry
gobi chilly,hariyali paneer tikka,achari paneer tikka,paneer tikka
porota,paneer porota,butter naan,butter rotti
rumal rotti,kuboos,garlic naan,butter kulcha
chapati,porota,paneer porota,butter naan
tandoori rotti,rumal rotti,kuboos,garlic naan
kulcha,chapati,porota,paneer porota
naan,tandoori rotti,rumal rotti,kuboos
butter rotti,kulcha,chapati,porota
butter kulcha,naan,tandoori rotti,rumal rotti
butter naan,butter rotti,kulcha,chapati
garlic naan,butter kulcha,naan,tandoori rotti
paneer porota,butter naan,butter rotti,kulcha
kuboos,garlic naan,butter kulcha,naan
black tea,caffe latte,caramel macchiato,cappuccino
black coffee,black tea,caffe latte,caramel macchiato
lime tea,black coffee,black coffee,caffe latte
lime coffee,lime tea,lime tea,lime tea
mint tea,lime coffee,lime coffee,lime coffee
mint coffee,mint tea,mint tea,mint tea
cardamom tea,mint coffee,mint coffee,mint coffee
samovor fresh milk tea,cardamom tea,cardamom tea,cardamom tea
karak tea,samovor fresh milk tea,samovor fresh milk tea,samovor fresh milk tea
saffron tea,karak tea,karak tea,karak tea
masala tea,saffron tea,saffron tea,saffron tea
grey tea,masala tea,masala tea,masala tea
green tea,grey tea,grey tea,grey tea
idukki coffee,green tea,green tea,green tea
ginger tea,idukki coffee,idukki coffee,idukki coffee
podi chaya,ginger tea,ginger tea,ginger tea
sulaimani with mint,podi chaya,podi chaya,podi chaya
lemon with mint tea,sulaimani with mint,sulaimani with mint,sulaimani with mint
disco tea,lemon with mint tea,lemon with mint tea,lemon with mint tea
horlicks,disco tea,disco tea,disco tea
boost,horlicks,horlicks,horlicks
bourn vita,boost,boost,boost
classic malt,bourn vita,bourn vita,bourn vita
hersheys coffee,classic malt,classic malt,classic malt
caramel espresso,hersheys coffee,hersheys coffee,hersheys coffee
caramel java chip,caramel espresso,caramel espresso,caramel espresso
caramel hot choclate delight,caramel java chip,caramel java chip,caramel java chip
green tea cream,caramel hot choclate delight,caramel hot choclate delight,caramel hot choclate delight
cold coffee,green tea cream,green tea cream,green tea cream
cold brew,cold coffee,cold coffee,cold coffee
brewed coffee,cold brew,cold brew,cold brew
vanilla sweet cream cold brew,brewed coffee,brewed coffee,brewed coffee
broasted nut latte,vanilla sweet cream cold brew,vanilla sweet cream cold brew,vanilla sweet cream cold brew
iced roasted nut latte,broasted nut latte,broasted nut latte,broasted nut latte
mocha cookie crumble latte,iced roasted nut latte,iced roasted nut latte,iced roasted nut latte
iced pumpkin spice latte,mocha cookie crumble latte,mocha cookie crumble latte,mocha cookie crumble latte
rock salted caramel latte,iced pumpkin spice latte,iced pumpkin spice latte,iced pumpkin spice latte
caffe americano,rock salted caramel latte,rock salted caramel latte,rock salted caramel latte
caffe mocha,caffe americano,caffe americano,caffe americano
cappuccino,caffe mocha,caffe mocha,caffe mocha
caramel macchiato,cappuccino,cappuccino,cappuccino
caffe latte,caramel macchiato,caramel macchiato,caramel macchiato
irish coffee,caffe latte,caffe latte,caffe latte
choclate cappuccino,choclate cappuccino,vanilla cappuccino,red eye cappuccino
doppio espresso,choclate cappuccino,choclate cappuccino,vanilla cappuccino
vinnese cappuccino,doppio espresso,choclate cappuccino,choclate cappuccino
caramel cappuccino,vinnese cappuccino,doppio espresso,choclate cappuccino
mocha cappuccino,caramel cappuccino,vinnese cappuccino,doppio espresso
hazelnut cappuccino,mocha cappuccino,caramel cappuccino,vinnese cappuccino
iced cappuccino,hazelnut cappuccino,mocha cappuccino,caramel cappuccino
red eye cappuccino,iced cappuccino,hazelnut cappuccino,mocha cappuccino
vanilla cappuccino,red eye cappuccino,iced cappuccino,hazelnut cappuccino
choclate cappuccino,vanilla cappuccino,red eye cappuccino,iced cappuccino
tomato soup,beef taco soup,apple soup,turkey potato chowder soup
mushroom soup,split pea soup,carrot pumpkin soup,creamy turkey gnocchi soup
spinach soup,beef wild rice soup,beef cabbage barley soup,cauliflower soup
sweetcorn soup,lasagna soup,creamy ham and potato soup,butternut squash soup
hot n sour soup,tomato soup,beef taco soup,apple soup
clear soup,mushroom soup,split pea soup,carrot pumpkin soup
hot pepper chicken soup,spinach soup,beef wild rice soup,beef cabbage barley soup
nadan mutton soup,sweetcorn soup,lasagna soup,creamy ham and potato soup
roated tomato soup,hot n sour soup,tomato soup,beef taco soup
lauki soup,clear soup,mushroom soup,split pea soup
manchow soup,hot pepper chicken soup,spinach soup,beef wild rice soup
tomato carrot soup,nadan mutton soup,sweetcorn soup,lasagna soup
lemon soup,roated tomato soup,hot n sour soup,tomato soup
mutton soup,lauki soup,clear soup,mushroom soup
chicken soup,manchow soup,hot pepper chicken soup,spinach soup
egg soup,tomato carrot soup,nadan mutton soup,sweetcorn soup
mixed veg soup,lemon soup,roated tomato soup,hot n sour soup
chicken clear soup,mutton soup,lauki soup,clear soup
chicken sweetcorn soup,chicken soup,manchow soup,hot pepper chicken soup
vegan broccoli cheddar soup,egg soup,tomato carrot soup,nadan mutton soup
north african carroot soup,mixed veg soup,lemon soup,roated tomato soup
oyster soup,chicken clear soup,mutton soup,lauki soup
roated butter nut soup,chicken sweetcorn soup,chicken soup,manchow soup
chicken noodles soup,vegan broccoli cheddar soup,egg soup,tomato carrot soup
hamburger soup with macaroni,north african carroot soup,mixed veg soup,lemon soup
creamy vegan raman soup,oyster soup,chicken clear soup,mutton soup
fresh onion soup,roated butter nut soup,chicken sweetcorn soup,chicken soup
cocunut curry lentil soup,chicken noodles soup,vegan broccoli cheddar soup,egg soup
broccoli cheese soup,hamburger soup with macaroni,north african carroot soup,mixed veg soup
borscht (beet soup),creamy vegan raman soup,oyster soup,chicken clear soup
potato corn chowder soup,fresh onion soup,roated butter nut soup,chicken sweetcorn soup
white bean soup,cocunut curry lentil soup,chicken noodles soup,vegan broccoli cheddar soup
alphabet soup,broccoli cheese soup,hamburger soup with macaroni,north african carroot soup
turkey wild rice soup,borscht (beet soup),creamy vegan raman soup,oyster soup
chicken tortilla,potato corn chowder soup,fresh onion soup,roated butter nut soup
white chicken chilly soup,white bean soup,cocunut curry lentil soup,chicken noodles soup
chicken and rice soup,alphabet soup,broccoli cheese soup,hamburger soup with macaroni
healthy miso raman chicken soup,turkey wild rice soup,borscht (beet soup),creamy vegan raman soup
creamy turkey orzo soup,chicken tortilla,potato corn chowder soup,fresh onion soup
turkey potato chowder soup,white chicken chilly soup,white bean soup,cocunut curry lentil soup
creamy turkey gnocchi soup,chicken and rice soup,alphabet soup,broccoli cheese soup
cauliflower soup,healthy miso raman chicken soup,turkey wild rice soup,borscht (beet soup)
butternut squash soup,creamy turkey orzo soup,chicken tortilla,potato corn chowder soup
apple soup,turkey potato chowder soup,white chicken chilly soup,white bean soup
carrot pumpkin soup,creamy turkey gnocchi soup,chicken and rice soup,alphabet soup
beef cabbage barley soup,cauliflower soup,healthy miso raman chicken soup,turkey wild rice soup
creamy ham and potato soup,butternut squash soup,creamy turkey orzo soup,chicken tortilla
beef taco soup,apple soup,turkey potato chowder soup,white chicken chilly soup
split pea soup,carrot pumpkin soup,creamy turkey gnocchi soup,chicken and rice soup
beef wild rice soup,beef cabbage barley soup,cauliflower soup,healthy miso raman chicken soup
lasagna soup,creamy ham and potato soup,butternut squash soup,creamy turkey orzo soup
chicken shawarma,classic paneer shawarma,veg shawarma,grilled chicken shawarma
arabic shawarma,mexican paneer shawarma,paneer shawarma,lamb shawarma
labanani shawarma,peri peri paneer shawarma,cheesy blend paneer shawarma,lebeneese chicken shawarma
mexici shawarma,peri peri chicken shawarma,classic paneer shawarma,easy beef shawarma
samoli shawarma,chicken shawarma,mexican paneer shawarma,yogurt marinated chicken shawarma
paratha shawarma,arabic shawarma,peri peri paneer shawarma,toronto chicken shawarma
burger shawarma,labanani shawarma,peri peri chicken shawarma,baked chicken shawarma
plate shawarma,mexici shawarma,chicken shawarma,classic shawarma
dev chef special shawarma,samoli shawarma,arabic shawarma,mutton shawarma
hassan mathar shawarma,paratha shawarma,labanani shawarma,bbq chicken shawarma
shawarma roll,burger shawarma,mexici shawarma,veg shawarma
finest arabic chicken shawarma,plate shawarma,samoli shawarma,paneer shawarma
grilled chicken shawarma,dev chef special shawarma,paratha shawarma,cheesy blend paneer shawarma
lamb shawarma,hassan mathar shawarma,burger shawarma,classic paneer shawarma
lebeneese chicken shawarma,shawarma roll,plate shawarma,mexican paneer shawarma
easy beef shawarma,finest arabic chicken shawarma,dev chef special shawarma,peri peri paneer shawarma
yogurt marinated chicken shawarma,grilled chicken shawarma,hassan mathar shawarma,peri peri chicken shawarma
toronto chicken shawarma,lamb shawarma,shawarma roll,chicken shawarma
baked chicken shawarma,lebeneese chicken shawarma,finest arabic chicken shawarma,arabic shawarma
classic shawarma,easy beef shawarma,grilled chicken shawarma,labanani shawarma
mutton shawarma,yogurt marinated chicken shawarma,lamb shawarma,mexici shawarma
bbq chicken shawarma,toronto chicken shawarma,lebeneese chicken shawarma,samoli shawarma
veg shawarma,baked chicken shawarma,easy beef shawarma,paratha shawarma
paneer shawarma,classic shawarma,yogurt marinated chicken shawarma,burger shawarma
cheesy blend paneer shawarma,mutton shawarma,toronto chicken shawarma,plate shawarma
classic paneer shawarma,bbq chicken shawarma,baked chicken shawarma,dev chef special shawarma
mexican paneer shawarma,veg shawarma,classic shawarma,hassan mathar shawarma
peri peri paneer shawarma,paneer shawarma,mutton shawarma,shawarma roll
peri peri chicken shawarma,cheesy blend paneer shawarma,bbq chicken shawarma,finest arabic chicken shawarma
peri peri alfaham,portugueese alfaham,spanish chicken alfaham,beef rib alfaham
kandari alfaham,shangai alfaham,turkish roasted chicken,schezwan alfaham
pepper alfaham,green pepper alfaham,butter alfaham,achari alfaham
honey chilly alfaham,moroccan alfaham,kuraishi alfaham,normal alfaham
chilly alfaham,peri peri alfaham,crushed chilly alfaham,spanish chicken alfaham
hot chilly alfaham,kandari alfaham,nawabi alfaham,smoked alfaham
cheese alfaham,pepper alfaham,portugueese alfaham,spicy alfaham
olive alfaham,honey chilly alfaham,shangai alfaham,baked pepper alfaham
kondatto alfaham,chilly alfaham,green pepper alfaham,italian chicken in brown sauce
kadai alfaham,hot chilly alfaham,moroccan alfaham,spanish chicken alfaham
orange alfaham,cheese alfaham,peri peri alfaham,turkish roasted chicken
spanish alfaham,olive alfaham,kandari alfaham,butter alfaham
american alfaham,kondatto alfaham,pepper alfaham,kuraishi alfaham
chineese alfaham,kadai alfaham,honey chilly alfaham,crushed chilly alfaham
malabari alfaham,orange alfaham,chilly alfaham,nawabi alfaham
garlic alfaham,spanish alfaham,hot chilly alfaham,portugueese alfaham
peri peri charcoal alfaham,american alfaham,cheese alfaham,shangai alfaham
fish alfaham,chineese alfaham,olive alfaham,green pepper alfaham
afghani alfaham,malabari alfaham,kondatto alfaham,moroccan alfaham
dragon alfaham,garlic alfaham,kadai alfaham,peri peri alfaham
beef rib alfaham,peri peri charcoal alfaham,orange alfaham,kandari alfaham
schezwan alfaham,fish alfaham,spanish alfaham,pepper alfaham
achari alfaham,afghani alfaham,american alfaham,honey chilly alfaham
normal alfaham,dragon alfaham,chineese alfaham,chilly alfaham
spanish chicken alfaham,beef rib alfaham,malabari alfaham,hot chilly alfaham
smoked alfaham,schezwan alfaham,garlic alfaham,cheese alfaham
spicy alfaham,achari alfaham,peri peri charcoal alfaham,olive alfaham
